StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Please pick an item,Find_location_1_control,Find_location_2_control,Please pick an item,Find Location_1,Find Location_2
2024-02-20 09:50:01,2024-02-20 09:50:18,IP Address,76.125.201.200,100,16,TRUE,2024-02-20 09:50:19,R_7Dx7co18LXrrvPg,,,,,40.4442,-79.9557,anonymous,EN,,,,,,,,,,,,,,
2024-02-20 10:09:31,2024-02-20 10:10:33,IP Address,71.112.217.136,100,61,TRUE,2024-02-20 10:10:33,R_1PB7WCDJLZGuXn6,,,,,40.473,-79.9537,anonymous,EN,31-35,Male,Yes,Almost daily! I get everything from Amazon,$51-70,I will compare between prices and brands,2-5,I use both very often,,,,I have picked an item; Please use the second image to find out its row and column number,2,3
2024-02-20 11:29:25,2024-02-20 11:32:35,IP Address,75.32.13.57,100,190,TRUE,2024-02-20 11:32:36,R_6BQ5Jhqzlj40uO3,,,,,32.961,-96.9841,anonymous,EN,31-35,Male,Yes,Once every week,$11-30,I will compare between prices and brands,More than 5,I only use Shopping Cart,I have picked an item; Please use the second image to find out its row and column number,2,5,,,
2024-02-20 09:53:02,2024-02-20 12:29:11,IP Address,76.125.201.200,100,9368,TRUE,2024-02-20 12:29:11,R_3eFKmZxP20eB82J,,,,,40.4442,-79.9557,anonymous,EN,,,,,,,,,,,,,,
2024-02-20 12:29:13,2024-02-20 12:29:52,IP Address,76.125.201.200,100,39,TRUE,2024-02-20 12:29:53,R_3pKmZ7yM7oEiq1H,,,,,40.4442,-79.9557,anonymous,EN,,,,,,,,,,,,,,
2024-02-20 16:28:00,2024-02-20 16:30:11,IP Address,128.237.82.2,100,131,TRUE,2024-02-20 16:30:12,R_7guz8bOPJAK4Z81,,,,,40.4442,-79.9557,anonymous,EN,21-25,Female,Yes,"Occasionally, depends on mood",$11-30,I will compare between prices and brands,2-5,I only use Shopping Cart,,,,I have picked an item; Please use the second image to find out its row and column number,1,3
2024-02-20 19:15:18,2024-02-20 19:15:51,IP Address,71.199.100.129,100,33,TRUE,2024-02-20 19:15:52,R_6ZJQZXgVbqwayQ4,,,,,40.4056,-80.1853,anonymous,EN,21-25,Female,No,"Rarely, only when I can't find the product everywhere else",$11-30,First item that comes to eyes,1,I only use Shopping Cart,,5,5,,,
2024-02-20 22:23:24,2024-02-20 22:25:17,IP Address,73.174.16.160,100,113,TRUE,2024-02-20 22:25:18,R_333OtM6UQGoqkkb,,,,,40.4236,-79.9825,anonymous,EN,21-25,Male,Yes,"Occasionally, depends on mood",$11-30,I always go to the brands I know personally,1,I only use Shopping Cart,,,,I have picked an item; Please use the second image to find out its row and column number,1,2
2024-02-21 01:08:25,2024-02-21 01:09:37,IP Address,76.120.151.225,100,71,TRUE,2024-02-21 01:09:37,R_1HHP0bNRVFI4sjT,,,,,40.4325,-79.863,anonymous,EN,21-25,Female,Yes,Once every week,$11-30,I always go to the brands I know personally,1,I use both very often,I have picked an item; Please use the second image to find out its row and column number,2,5,,,
2024-02-21 08:45:04,2024-02-21 08:46:18,IP Address,98.236.219.8,100,74,TRUE,2024-02-21 08:46:19,R_5Qh4BiKFfOqEADv,,,,,40.4965,-80.206,anonymous,EN,21-25,Female,Yes,Once every week,Above $70,I will pick whatever Amazon picks for me ,1,I only use Shopping Cart,I have picked an item; Please use the second image to find out its row and column number,1,5,,,
2024-02-21 09:35:11,2024-02-21 09:37:22,IP Address,128.237.82.1,100,130,TRUE,2024-02-21 09:37:22,R_6rj5MjNFS9EP2AH,,,,,40.4442,-79.9557,anonymous,EN,21-25,Female,Yes,"Occasionally, depends on mood",$11-30,I will compare between prices and brands,2-5,I only use Shopping Cart,,,,I have picked an item; Please use the second image to find out its row and column number,1,4
2024-02-18 18:05:39,2024-02-21 09:43:26,IP Address,128.2.149.230,100,229067,TRUE,2024-02-21 09:43:26,R_7Ei3VUMF5RIBkRn,,,,,40.4442,-79.9557,anonymous,EN,,,,,,,,,I have picked an item; Please use the second image to find out its row and column number,,,,,
2024-02-21 09:42:19,2024-02-21 09:43:35,IP Address,128.237.82.2,100,76,TRUE,2024-02-21 09:43:36,R_6BnYmaSiNKoGvXb,,,,,40.4442,-79.9557,anonymous,EN,21-25,Female,Yes,"Occasionally, depends on mood",Under $10,I will compare between prices and brands,More than 5,I only use Shopping Cart,,,,I have picked an item; Please use the second image to find out its row and column number,1,3
2024-02-21 09:42:24,2024-02-21 09:44:20,IP Address,128.237.82.4,100,116,TRUE,2024-02-21 09:44:20,R_7cUMkw04OacMEZf,,,,,40.4442,-79.9557,anonymous,EN,21-25,Male,Yes,Once every week,$11-30,I will compare between prices and brands,More than 5,I only use Shopping Cart,I have picked an item; Please use the second image to find out its row and column number,3,1,,,
2024-02-21 09:44:19,2024-02-21 09:45:57,IP Address,128.237.82.7,100,98,TRUE,2024-02-21 09:45:57,R_5QM9SCFMyzBR8zv,,,,,40.4442,-79.9557,anonymous,EN,21-25,Female,Yes,Once every week,$11-30,I will compare between prices and brands,2-5,I only use Shopping Cart,,,,I have picked an item; Please use the second image to find out its row and column number,3,1
2024-02-21 09:45:44,2024-02-21 09:46:57,IP Address,173.75.15.134,100,72,TRUE,2024-02-21 09:46:57,R_7sjl7OIBjJo2ZXr,,,,,40.4324,-79.9247,anonymous,EN,21-25,Female,Yes,Once every week,$11-30,I will compare between prices and brands,2-5,I only use Shopping Cart,I have picked an item; Please use the second image to find out its row and column number,2,2,,,
2024-02-21 10:32:38,2024-02-21 10:34:27,IP Address,128.237.82.9,100,108,TRUE,2024-02-21 10:34:27,R_3HpoY5RlUfKx8UE,,,,,40.4442,-79.9557,anonymous,EN,21-25,Female,Yes,Once every week,$31-50,I will compare between prices and brands,2-5,I only use Shopping Cart,,,,I have picked an item; Please use the second image to find out its row and column number,1,4
2024-02-21 10:58:16,2024-02-21 11:06:10,IP Address,71.195.73.92,100,474,TRUE,2024-02-21 11:06:11,R_6F27E8X57YBY3Nt,,,,,40.4056,-80.1853,anonymous,EN,26-30,Female,No,"Rarely, only when I can't find the product everywhere else",Under $10,I will compare between prices and brands,2-5,I only use Shopping Cart,I have picked an item; Please use the second image to find out its row and column number,1,5,,,
2024-02-21 11:21:20,2024-02-21 11:22:41,IP Address,128.2.149.230,100,81,TRUE,2024-02-21 11:22:41,R_7D69oueSkASWBgD,,,,,40.4442,-79.9557,anonymous,EN,21-25,Female,Yes,Once every week,$11-30,I will compare between prices and brands,2-5,I only use Shopping Cart,,,,I have picked an item; Please use the second image to find out its row and column number,1,1
2024-02-21 11:31:59,2024-02-21 11:33:26,IP Address,73.92.176.94,100,86,TRUE,2024-02-21 11:33:27,R_6Uben35zwS6cgGk,,,,,37.8767,-122.2676,anonymous,EN,Under 20,Female,Yes,"Occasionally, depends on mood",$11-30,I will compare between prices and brands,2-5,I only use Shopping Cart,I have picked an item; Please use the second image to find out its row and column number,2,3,,,
2024-02-21 11:37:21,2024-02-21 11:39:02,IP Address,174.249.154.255,100,100,TRUE,2024-02-21 11:39:02,R_3qggysR9qmJli97,,,,,37.7428,-122.1745,anonymous,EN,Under 20,Female,Yes,"Rarely, only when I can't find the product everywhere else",Under $10,I will compare between prices and brands,2-5,I only use Shopping Cart,I have picked an item; Please use the second image to find out its row and column number,1,4,,,
2024-02-21 11:48:38,2024-02-21 11:52:12,IP Address,174.203.122.38,100,213,TRUE,2024-02-21 11:52:12,R_1ODcg5XPiZJRiZd,,,,,40.3323,-80.0806,anonymous,EN,21-25,Male,Yes,"Occasionally, depends on mood",$11-30,I will compare between prices and brands,More than 5,I only use Shopping Cart,,,,I have picked an item; Please use the second image to find out its row and column number,1,4
2024-02-21 12:26:53,2024-02-21 12:28:12,IP Address,73.92.176.201,100,78,TRUE,2024-02-21 12:28:13,R_7dXuTOPfMBT5u6a,,,,,37.8767,-122.2676,anonymous,EN,21-25,Male,Yes,Almost daily! I get everything from Amazon,$11-30,I will compare between prices and brands,2-5,I always Buy Now,,2,2,,,
2024-02-21 13:01:05,2024-02-21 13:04:56,IP Address,98.236.219.231,100,231,TRUE,2024-02-21 13:04:57,R_5SrxDhM4OrR1trr,,,,,40.4965,-80.206,anonymous,EN,21-25,Female,Yes,"Occasionally, depends on mood",$11-30,I will compare between prices and brands,2-5,I always Buy Now,,,,I have picked an item; Please use the second image to find out its row and column number,2,2
2024-02-21 13:36:18,2024-02-21 13:39:08,IP Address,71.60.199.72,100,170,TRUE,2024-02-21 13:39:09,R_7fBirIloQf7OmBa,,,,,40.4725,-79.9109,anonymous,EN,21-25,Female,Yes,"Occasionally, depends on mood",Under $10,I will compare between prices and brands,2-5,I only use Shopping Cart,I have picked an item; Please use the second image to find out its row and column number,2,3,,,
2024-02-20 19:18:02,2024-02-21 13:50:07,IP Address,73.174.124.107,100,66725,TRUE,2024-02-21 13:50:08,R_7zV1t9qISbIKru7,,,,,40.4324,-79.9247,anonymous,EN,26-30,Female,Yes,"Occasionally, depends on mood",$11-30,I will compare between prices and brands,2-5,I only use Shopping Cart,,,,,3,2
2024-02-21 14:25:25,2024-02-21 14:26:47,IP Address,96.236.208.145,100,81,TRUE,2024-02-21 14:26:47,R_1hApo5lqlFG6v2P,,,,,40.4625,-79.9461,anonymous,EN,21-25,Male,Yes,"Rarely, only when I can't find the product everywhere else",Under $10,"The cheapest one only, I only care about the price",2-5,I only use Shopping Cart,I have picked an item; Please use the second image to find out its row and column number,1,1,,,
2024-02-21 15:35:39,2024-02-21 15:37:09,IP Address,128.237.82.13,100,90,TRUE,2024-02-21 15:37:10,R_6NyLJldIRbiSz1t,,,,,40.4442,-79.9557,anonymous,EN,21-25,Male,Yes,Once every week,$11-30,I will pick whatever Amazon picks for me ,2-5,I only use Shopping Cart,,,,I have picked an item; Please use the second image to find out its row and column number,2,3
2024-02-21 15:58:25,2024-02-21 15:59:56,IP Address,128.237.82.11,100,90,TRUE,2024-02-21 15:59:56,R_3GfH9evpna22F1I,,,,,40.4442,-79.9557,anonymous,EN,21-25,Female,Yes,Once every week,$11-30,I always go to the brands I know personally,1,I only use Shopping Cart,I have picked an item; Please use the second image to find out its row and column number,3,1,,,
2024-02-21 16:04:44,2024-02-21 16:07:23,IP Address,128.237.82.7,100,159,TRUE,2024-02-21 16:07:24,R_7dE5H3NJt8F54um,,,,,40.4442,-79.9557,anonymous,EN,21-25,Female,Yes,"Occasionally, depends on mood",$11-30,I will compare between prices and brands,2-5,I use both very often,,,,I have picked an item; Please use the second image to find out its row and column number,1,1
2024-02-21 16:05:44,2024-02-21 16:07:57,IP Address,45.48.7.238,100,132,TRUE,2024-02-21 16:07:58,R_7ype5rAppcJyeG5,,,,,34.118,-118.3303,anonymous,EN,21-25,Female,Yes,"Occasionally, depends on mood",Under $10,I will compare between prices and brands,2-5,I use both very often,,,,I have picked an item; Please use the second image to find out its row and column number,2,3
2024-02-21 16:07:03,2024-02-21 16:09:25,IP Address,128.237.82.14,100,141,TRUE,2024-02-21 16:09:25,R_3fp5Wg54q684z3I,,,,,40.4442,-79.9557,anonymous,EN,21-25,Female,Yes,"Occasionally, depends on mood",Under $10,"The cheapest one only, I only care about the price",2-5,I use both very often,I have picked an item; Please use the second image to find out its row and column number,2,5,,,
2024-02-21 16:15:52,2024-02-21 16:17:59,IP Address,128.237.82.12,100,126,TRUE,2024-02-21 16:18:00,R_6luAJX6U1F3NO96,,,,,40.4442,-79.9557,anonymous,EN,26-30,Female,Yes,"Occasionally, depends on mood",Under $10,I always go to the brands I know personally,2-5,I only use Shopping Cart,,,,I have picked an item; Please use the second image to find out its row and column number,1,2
2024-02-21 16:15:35,2024-02-21 16:18:10,IP Address,128.237.82.10,100,154,TRUE,2024-02-21 16:18:10,R_3WVlWyOMHiiVUgb,,,,,40.4442,-79.9557,anonymous,EN,21-25,Female,Yes,"Rarely, only when I can't find the product everywhere else",Under $10,I will compare between prices and brands,2-5,I use both very often,I have picked an item; Please use the second image to find out its row and column number,,2,,,
2024-02-21 16:25:54,2024-02-21 16:26:48,IP Address,71.182.186.213,100,54,TRUE,2024-02-21 16:26:49,R_5hMyjjSz4Xy9CBR,,,,,40.4488,-79.9951,anonymous,EN,21-25,Male,Maybe,"Occasionally, depends on mood",$11-30,I will compare between prices and brands,More than 5,I only use Shopping Cart,,,,,3,4
2024-02-21 16:43:13,2024-02-21 16:44:29,IP Address,128.237.82.7,100,76,TRUE,2024-02-21 16:44:30,R_76pUCxg6B8xrZgR,,,,,40.4442,-79.9557,anonymous,EN,21-25,Female,No,"Occasionally, depends on mood",$11-30,I will compare between prices and brands,2-5,I only use Shopping Cart,I have picked an item; Please use the second image to find out its row and column number,2,3,,,
2024-02-21 18:45:05,2024-02-21 18:46:03,IP Address,72.95.255.114,100,57,TRUE,2024-02-21 18:46:03,R_1MxHkxnVf9r3EK5,,,,,40.4725,-79.9109,anonymous,EN,21-25,Female,Yes,"Rarely, only when I can't find the product everywhere else",Under $10,I will compare between prices and brands,2-5,I only use Shopping Cart,I have picked an item; Please use the second image to find out its row and column number,1,2,,,
2024-02-21 21:16:53,2024-02-21 21:19:03,IP Address,128.237.82.11,100,130,TRUE,2024-02-21 21:19:04,R_1HqwOazwB9ruIP3,,,,,40.4442,-79.9557,anonymous,EN,26-30,Male,No,"Occasionally, depends on mood",Under $10,First item that comes to eyes,2-5,I only use Shopping Cart,,,,I have picked an item; Please use the second image to find out its row and column number,1,4
2024-02-21 22:51:43,2024-02-21 22:55:10,IP Address,74.111.100.23,100,207,TRUE,2024-02-21 22:55:11,R_70tJBjqJHNrImjv,,,,,40.4324,-79.9247,anonymous,EN,31-35,Female,Yes,Almost daily! I get everything from Amazon,$51-70,I always go to the brands I know personally,2-5,I use both very often,I have picked an item; Please use the second image to find out its row and column number,2,5,,,
2024-02-21 23:40:09,2024-02-21 23:41:49,IP Address,71.60.117.109,100,100,TRUE,2024-02-21 23:41:49,R_5m3NmHXymdOLY7m,,,,,40.4324,-79.9247,anonymous,EN,21-25,Female,Yes,"Occasionally, depends on mood",Under $10,I will compare between prices and brands,2-5,I only use Shopping Cart,I have picked an item; Please use the second image to find out its row and column number,2,2,,,
2024-02-22 00:20:07,2024-02-22 00:25:39,IP Address,73.202.204.219,100,332,TRUE,2024-02-22 00:25:40,R_3TMgEDnkMfEECf0,,,,,37.3209,-121.9126,anonymous,EN,21-25,Female,No,"Rarely, only when I can't find the product everywhere else",Under $10,I will compare between prices and brands,2-5,I only use Shopping Cart,,,,I have picked an item; Please use the second image to find out its row and column number,1,1
2024-02-22 01:02:55,2024-02-22 01:05:29,IP Address,23.93.68.222,100,153,TRUE,2024-02-22 01:05:29,R_3Pxk9ev6nD3qlNf,,,,,37.8922,-122.2729,anonymous,EN,21-25,Female,No,"Occasionally, depends on mood",Under $10,I will compare between prices and brands,2-5,I only use Shopping Cart,I have picked an item; Please use the second image to find out its row and column number,2,2,,,
2024-02-22 01:20:19,2024-02-22 01:22:52,IP Address,98.236.218.30,100,153,TRUE,2024-02-22 01:22:53,R_1hGbW8BdmIaqk3E,,,,,40.4965,-80.206,anonymous,EN,21-25,Female,Yes,Almost daily! I get everything from Amazon,$51-70,I will pick whatever Amazon picks for me ,2-5,I always Buy Now,,,,I have picked an item; Please use the second image to find out its row and column number,1,3
2024-02-22 01:21:58,2024-02-22 01:24:57,IP Address,98.236.218.30,100,178,TRUE,2024-02-22 01:24:57,R_3CvljLfVb09eK0v,,,,,40.4965,-80.206,anonymous,EN,21-25,Male,Yes,"Rarely, only when I can't find the product everywhere else",Under $10,I will compare between prices and brands,More than 5,I only use Shopping Cart,,,,I have picked an item; Please use the second image to find out its row and column number,1,3
2024-02-22 01:23:46,2024-02-22 01:26:26,IP Address,73.252.146.184,100,160,TRUE,2024-02-22 01:26:27,R_1E6XLshDTi2petB,,,,,37.3526,-121.9541,anonymous,EN,26-30,Male,Yes,"Occasionally, depends on mood",Under $10,I will compare between prices and brands,More than 5,I only use Shopping Cart,I have picked an item; Please use the second image to find out its row and column number,2,1,,,
2024-02-22 07:17:20,2024-02-22 07:20:47,IP Address,52.124.41.233,100,206,TRUE,2024-02-22 07:20:47,R_6qKwqQOVYfWYTU8,,,,,40.4442,-79.9557,anonymous,EN,26-30,Male,Yes,"Occasionally, depends on mood",Under $10,I will compare between prices and brands,2-5,I use both very often,I have picked an item; Please use the second image to find out its row and column number,2,1,,,
2024-02-22 11:20:29,2024-02-22 11:32:07,IP Address,128.237.82.10,100,697,TRUE,2024-02-22 11:32:07,R_3wcXdhiHqHWCbJl,,,,,40.4442,-79.9557,anonymous,EN,26-30,Female,Yes,"Occasionally, depends on mood",Under $10,I will compare between prices and brands,2-5,I use both very often,,,,I have picked an item; Please use the second image to find out its row and column number,1,3
2024-02-22 20:53:41,2024-02-22 20:57:37,IP Address,74.111.97.243,100,236,TRUE,2024-02-22 20:57:37,R_15Rfx4cjHI09VCz,,,,,40.4324,-79.9247,anonymous,EN,26-30,Female,Yes,"Occasionally, depends on mood",Under $10,I will compare between prices and brands,2-5,I only use Shopping Cart,I have picked an item; Please use the second image to find out its row and column number,3,,,,
2024-02-24 13:12:27,2024-02-24 13:14:30,IP Address,174.193.129.147,100,123,TRUE,2024-02-24 13:14:31,R_6jreIb7fVrYDzHn,,,,,34.024,-118.1965,anonymous,EN,21-25,Female,Yes,"Occasionally, depends on mood",Under $10,"The cheapest one only, I only care about the price",2-5,I only use Shopping Cart,,,,I have picked an item; Please use the second image to find out its row and column number,1,4
2024-02-25 18:18:21,2024-02-25 18:25:31,Survey Preview,,100,429,TRUE,2024-02-25 18:25:32,R_3rputdj9nDV7n6P,,,,,40.1678,-80.2591,preview,EN,,,,,,,,,,,,,,
