,ResponseId,age,gender,amazon_prime,buy_amazon_freq,expense_per_order,compare_items,browse_items,shopping_cart,Row_picked_groupA,Column_picked_groupA,Row_picked_groupB,Column_picked_groupB,treat,choose_labeled
32,R_1MxHkxnVf9r3EK5,21-25,Female,Yes,"Rarely, only when I can't find the product everywhere else",Under $10,I will compare between prices and brands,2-5,I only use Shopping Cart,1,2,0,0,False,True
33,R_1HqwOazwB9ruIP3,26-30,Male,No,"Occasionally, depends on mood",Under $10,First item that comes to eyes,2-5,I only use Shopping Cart,0,0,1,4,True,True
34,R_70tJBjqJHNrImjv,31-35,Female,Yes,Almost daily! I get everything from Amazon,$51-70,I always go to the brands I know personally,2-5,I use both very often,2,5,0,0,False,False
35,R_5m3NmHXymdOLY7m,21-25,Female,Yes,"Occasionally, depends on mood",Under $10,I will compare between prices and brands,2-5,I only use Shopping Cart,2,2,0,0,False,True
36,R_3TMgEDnkMfEECf0,21-25,Female,No,"Rarely, only when I can't find the product everywhere else",Under $10,I will compare between prices and brands,2-5,I only use Shopping Cart,0,0,1,1,True,True
37,R_3Pxk9ev6nD3qlNf,21-25,Female,No,"Occasionally, depends on mood",Under $10,I will compare between prices and brands,2-5,I only use Shopping Cart,2,2,0,0,False,True
38,R_1hGbW8BdmIaqk3E,21-25,Female,Yes,Almost daily! I get everything from Amazon,$51-70,I will pick whatever Amazon picks for me ,2-5,I always Buy Now,0,0,1,3,True,True
39,R_3CvljLfVb09eK0v,21-25,Male,Yes,"Rarely, only when I can't find the product everywhere else",Under $10,I will compare between prices and brands,More than 5,I only use Shopping Cart,0,0,1,3,True,True
40,R_1E6XLshDTi2petB,26-30,Male,Yes,"Occasionally, depends on mood",Under $10,I will compare between prices and brands,More than 5,I only use Shopping Cart,2,1,0,0,False,True
41,R_6qKwqQOVYfWYTU8,26-30,Male,Yes,"Occasionally, depends on mood",Under $10,I will compare between prices and brands,2-5,I use both very often,2,1,0,0,False,True
42,R_3wcXdhiHqHWCbJl,26-30,Female,Yes,"Occasionally, depends on mood",Under $10,I will compare between prices and brands,2-5,I use both very often,0,0,1,3,True,True
43,R_15Rfx4cjHI09VCz,26-30,Female,Yes,"Occasionally, depends on mood",Under $10,I will compare between prices and brands,2-5,I only use Shopping Cart,3,0,0,0,False,False
44,R_6jreIb7fVrYDzHn,21-25,Female,Yes,"Occasionally, depends on mood",Under $10,"The cheapest one only, I only care about the price",2-5,I only use Shopping Cart,0,0,1,4,True,True
